화면ID,영역,화면명,경로,담는 기능ID,우선순위,제작일,상태
ST-00,공통,통합 랜딩 홈,/v2/index.html,공통-001,P0,D1,완료
ST-01,공통,통합 서비스 내비게이션(GNB·푸터),page-section-navigation.js 공용,공통-001,P0,D1,완료
ST-02,공통,통합 검색 결과,/v2/site/search.html,공통-008,P1,D2,
ST-03,공통,자주 묻는 질문,/v2/site/faq.html,몰입-037 공통-010,P2,D2,
ST-04,공통,이용약관,/v2/site/terms.html,-,P2,D2,
ST-05,공통,개인정보처리방침,/v2/site/privacy.html,공통-005,P2,D2,
ST-06,공통,문의 접수 완료,/v2/site/inquiry-done.html,공통-007,P1,D2,
CP-01,취업캠퍼스,메인,/v2/site/campus/index.html,취업-012 취업-013 취업-015 취업-016 취업-019 취업-023,P0,D1,완료
CP-02,취업캠퍼스,브랜드 스토리·연혁,/v2/site/campus/about.html,취업-013 취업-014 취업-023,P1,D2,
CP-03,취업캠퍼스,취업 성과 대시보드,/v2/site/campus/outcome.html,취업-016,P1,D2,
CP-04,취업캠퍼스,수료생 후기 목록,/v2/site/campus/reviews.html,취업-017 취업-018 공통-003,P1,D2,
CP-05,취업캠퍼스,수료생 후기 상세,/v2/site/campus/review-detail.html,취업-017,P1,D2,
CP-06,취업캠퍼스,취업지원 프로세스,/v2/site/campus/support.html,취업-022,P1,D2,
CP-07,취업캠퍼스,캠퍼스·기숙사·수영센터,/v2/site/campus/facility.html,취업-020 취업-021,P1,D2,
CP-08,취업캠퍼스,과정 추천 진단,/v2/site/campus/recommend.html,취업-024 몰입-044,P0,D2,
CP-09,취업캠퍼스,상담 신청,/v2/site/campus/counsel.html,취업-025 공통-007,P0,D2,
CL-01,몰입클라쓰,과정 카탈로그,/v2/site/class/index.html,몰입-026 몰입-027 몰입-028 몰입-029,P0,D1,완료
CL-02,몰입클라쓰,과정 상세,/v2/site/class/course.html,몰입-030~037 몰입-029,P0,D1,완료
CL-03,몰입클라쓰,과정 신청서,/v2/site/class/apply.html,몰입-038 몰입-039 공통-005 공통-006,P0,D2,
CL-04,몰입클라쓰,LXP 학습 플랫폼 소개,/v2/site/class/lxp.html,몰입-040 몰입-041 몰입-042 몰입-043,P1,D2,
BZ-01,비즈워크넥트,메인,/v2/site/biz/index.html,비즈-045 비즈-046,P0,D1,완료
BZ-02,비즈워크넥트,AX 조직 진단,/v2/site/biz/diagnosis.html,비즈-047,P0,D2,
BZ-03,비즈워크넥트,AX Flow,/v2/site/biz/flow.html,비즈-048,P1,D2,
BZ-04,비즈워크넥트,직무별 기업교육,/v2/site/biz/programs.html,비즈-049 비즈-050 비즈-051,P1,D2,
BZ-05,비즈워크넥트,기업교육 사례 목록,/v2/site/biz/cases.html,비즈-053 비즈-054,P1,D2,
BZ-06,비즈워크넥트,기업교육 사례 상세,/v2/site/biz/case-detail.html,비즈-053,P1,D2,
BZ-07,비즈워크넥트,도입 문의·맞춤 구성,/v2/site/biz/contact.html,비즈-052 비즈-055 비즈-056 비즈-058,P0,D2,
CM-01,공통,로그인,/login,LXP 로그인(실제 화면: templates/01-login/login.html),P0,D3,연결완료
CM-02,공통,회원가입 유형 선택,/v2/login/signup.html,공통-005 공통-006,P1,D3,
CM-03,공통,훈련생 회원가입,/v2/login/signup-trainee.html,공통-005 공통-006,P1,D3,
CM-04,공통,가입 완료·승인 대기,/v2/login/signup-done.html,공통-005,P2,D3,
CM-05,공통,비밀번호 찾기,/v2/login/find-password.html,-,P2,D3,
TR-01,LXP 수강생,학습 홈,/v2/lxp/trainee/index.html,LXP-058 LXP-059 LXP-135 몰입-040 몰입-043,P0,D1,완료
TR-02,LXP 수강생,내 과정,/v2/lxp/trainee/my-course.html,LXP-059 몰입-029,P1,D3,
TR-03,LXP 수강생,학습 콘텐츠 목록,/v2/lxp/trainee/contents.html,LXP-116~120 LXP-088,P1,D3,
TR-04,LXP 수강생,콘텐츠 플레이어(영상),/v2/lxp/trainee/player-video.html,LXP-117 LXP-118 LXP-120,P1,D3,
TR-05,LXP 수강생,콘텐츠 플레이어(문서),/v2/lxp/trainee/player-doc.html,LXP-117 LXP-118,P2,D3,
TR-06,LXP 수강생,콘텐츠 플레이어(실습 IDE),/v2/lxp/trainee/player-ide.html,LXP-110~115 LXP-126 LXP-131,P2,D3,
TR-07,LXP 수강생,과제 목록,/v2/lxp/trainee/assignments.html,LXP-098 LXP-099,P1,D3,
TR-08,LXP 수강생,과제 상세·제출,/v2/lxp/trainee/assignment-detail.html,LXP-098 LXP-099 LXP-100,P1,D3,
TR-09,LXP 수강생,시험 목록,/v2/lxp/trainee/exams.html,LXP-002 LXP-007,P1,D3,
TR-10,LXP 수강생,시험 응시(감독 포함),/v2/lxp/trainee/exam-attempt.html,LXP-011 LXP-018~021 LXP-015,P0,D3,
TR-11,LXP 수강생,시험 결과,/v2/lxp/trainee/exam-result.html,LXP-022 LXP-023 LXP-089,P2,D3,
TR-12,LXP 수강생,출결 현황,/v2/lxp/trainee/attendance.html,LXP-060 LXP-136~139,P1,D3,
TR-13,LXP 수강생,이수 관리·이수증,/v2/lxp/trainee/completion.html,LXP-080~083 LXP-102~105,P1,D3,
TR-14,LXP 수강생,공지 목록,/v2/lxp/trainee/notices.html,LXP-121 LXP-122,P2,D3,
TR-15,LXP 수강생,공지 상세,/v2/lxp/trainee/notice-detail.html,LXP-121 LXP-123,P2,D3,
TR-16,LXP 수강생,Q&A 목록·등록,/v2/lxp/trainee/qna.html,LXP-064 LXP-065 LXP-132,P1,D3,
TR-17,LXP 수강생,튜터링 대화방,/v2/lxp/trainee/tutoring.html,LXP-061~066 LXP-130~134,P1,D3,
TR-18,LXP 수강생,설문 목록,/v2/lxp/trainee/surveys.html,LXP-036~039,P2,D3,
TR-19,LXP 수강생,설문 응답,/v2/lxp/trainee/survey-answer.html,LXP-038 LXP-039,P2,D3,
TR-20,LXP 수강생,직무 로드맵,/v2/lxp/trainee/ai-roadmap.html,LXP-101 LXP-106 LXP-107 몰입-041,P0,D3,
TR-21,LXP 수강생,커리큘럼 추천,/v2/lxp/trainee/ai-curriculum.html,LXP-051 LXP-052 LXP-053,P1,D3,
TR-22,LXP 수강생,AI 학습 도우미,/v2/lxp/trainee/ai-qna.html,LXP-071~075 몰입-041,P0,D3,
TR-23,LXP 수강생,알림함,/v2/lxp/trainee/alarm.html,LXP-043~045 LXP-067~070,P2,D3,
TR-24,LXP 수강생,내 정보,/v2/lxp/trainee/my-info.html,공통-005,P2,D3,
AD-01,관리자,운영 관제 대시보드,/v2/admin/index.html,LXP-046 LXP-076 LXP-077 LXP-086 LXP-087,P0,D1,완료
AD-02,관리자,우선 개입 큐,/v2/admin/queue.html,LXP-095 LXP-067,P0,D4,
AD-03,관리자,이탈 예측 분석,/v2/admin/analytics-dropout.html,LXP-048 LXP-078 LXP-093 LXP-094 LXP-095,P1,D4,
AD-04,관리자,과정 관리,/v2/admin/courses.html,공통-002 몰입-026,P0,D4,
AD-05,관리자,과정 상세·편집,/v2/admin/course-detail.html,공통-002 몰입-030~036,P0,D4,
AD-06,관리자,차시·일정 관리,/v2/admin/schedule.html,몰입-034,P1,D4,
AD-07,관리자,콘텐츠 라이브러리,/v2/admin/contents.html,LXP-027~031 LXP-116 LXP-117,P0,D4,
AD-08,관리자,콘텐츠 버전 이력,/v2/admin/content-versions.html,LXP-032~035,P1,D4,
AD-09,관리자,훈련생 관리,/v2/admin/trainees.html,LXP-086 LXP-091,P0,D4,
AD-10,관리자,훈련생 상세·개입 이력,/v2/admin/trainee-detail.html,LXP-089 LXP-094 LXP-107,P0,D4,
AD-11,관리자,강사 관리,/v2/admin/instructors.html,몰입-033,P1,D4,
AD-12,관리자,가입 승인,/v2/admin/pending-users.html,공통-005 공통-006,P1,D4,
AD-13,관리자,수강신청 승인,/v2/admin/enrollments.html,공통-005 몰입-038 몰입-039,P0,D4,
